Molecule ChEMBL ID;Molecular Weight;#RO5 Violations;AlogP;Smiles;pChEMBL Value;Ligand Efficiency BEI;Assay Type;Activity_Class;std_Molecular Weight;std_AlogP;std_Ligand Efficiency BEI
CHEMBL5821609;517.72;1.0;4.54;Cc1ccc2[nH]c3c(c2c1)CN(C(=O)NCCCCN1CCN(c2cc(C(C)(C)C)nc(C)n2)CC1)CC3;5.26;10.16;1;0;0.11807869021319274;0.5308946906160621;0.11040070473344168
CHEMBL210404;349.44;0.0;2.6;COc1ccccc1N1CCN(Cc2cnn(-c3ccccn3)c2)CC1;7.51;21.49;1;1;0.07246384668555086;0.46252021276445887;0.23351487644898244
CHEMBL210578;401.91;0.0;4.96;O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1;8.8;21.89;1;1;0.08668663513275415;0.5456974126251721;0.23786136088730694
CHEMBL25236;417.55;0.0;4.18;COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1;6.7;16.04;1;1;0.09092609408671373;0.5182066431796821;0.17429402597681146
CHEMBL378455;315.42;0.0;4.16;C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1;7.6;24.0948576501173;2;1;0.06324221026523724;0.5175017516554388;0.26181980954969575
CHEMBL378455;315.42;0.0;4.16;C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1;8.77;27.80419757783273;2;1;0.06324221026523724;0.5175017516554388;0.30212628023037263
CHEMBL2397381;393.91;0.0;4.44;CN1CCc2ccc(Cc3ccccc3)c3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl;7.11;19.9;1;1;0.08451811392868276;0.5273702329948454;0.21623760080664264
CHEMBL4104596;444.0;0.0;4.51;Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1;6.46;14.54;1;1;0.09809576731767479;0.5298373533296971;0.15799470933309467
CHEMBL4071451;449.55;0.0;4.53;O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1;7.85;17.47;1;1;0.09960017890299933;0.5305422448539404;0.18983270784382147
CHEMBL4069237;480.03;1.0;5.43;O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc2ccccc12;8.55;17.82;1;1;0.10786224469051135;0.5622623634448904;0.1936358817273554
CHEMBL4066916;236.27;0.0;0.57;Oc1ccc(N2CCNCC2)c2c1OCCO2;5.22;22.1;1;0;0.04178740360245585;0.3909737230537606;0.2401432652174273
CHEMBL4103639;461.52;0.0;2.68;O=Cc1cnn2ccc(OCCCCN3CCN(c4ccc(O)c5[nH]c(=O)ccc45)CC3)cc12;9.0;19.5;1;1;0.10284482875459115;0.4653397788614322;0.2118911163683182
CHEMBL1112;448.39;0.0;4.86;O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1;9.28;20.71;1;1;0.09928574332840896;0.5421729550039555;0.22503923179424976
CHEMBL1112;448.39;0.0;4.86;O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1;9.42;21.01;1;1;0.09928574332840896;0.5421729550039555;0.2282990951229931
CHEMBL4064191;245.28;0.0;0.64;O=c1ccc2c(N3CCNCC3)ccc(O)c2[nH]1;5.92;24.14;1;0;0.044229700608541256;0.39344084338861224;0.2623103358528821
CHEMBL5812507;463.6;1.0;5.04;COc1cccc(C(c2ccccn2)N(C)CC2CCN(CCOc3ccccc3F)CC2)c1;7.26;15.66;1;1;0.10340864426764972;0.5485169787221454;0.17016486576040324
CHEMBL1224697;384.55;0.0;4.2;CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1;7.0;18.20309452606943;2;1;0.08198094411991921;0.5189115347039255;0.19779866771727558
CHEMBL1223657;356.49;0.0;3.47;CC(C)c1ccc(S(=O)(=O)Nc2ccc(C34CNCC3C4)cc2)cc1;6.3;17.672304973491542;2;1;0.07437485599663879;0.4931829940690438;0.19203099639151305
CHEMBL2397389;414.59;1.0;5.69;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1;7.75;18.68;1;1;0.09012374124120731;0.5714259532600537;0.202980823269753
CHEMBL2397479;394.58;1.0;5.24;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1;7.5;18.99;1;1;0.08469972757952372;0.5555658939645787;0.20634934870945448
CHEMBL2397477;549.76;2.0;5.43;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1;8.1;14.73;1;1;0.12676361763549865;0.5622623634448904;0.16005928944129882
CHEMBL2397478;549.76;2.0;5.43;C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1;9.28;16.87;1;1;0.12676361763549865;0.5622623634448904;0.18331298118633477
CHEMBL28437;379.44;0.0;3.89;CCCN(CCC)C1CCc2cccc(OS(=O)(=O)C(F)(F)F)c2C1;7.21;19.0;1;1;0.0805958012008186;0.5079857160781538;0.2064580108204126
CHEMBL1209157;395.48;0.0;4.33;COc1ccc(OC)c(C2CCN(Cc3cnn(-c4ccccc4F)c3C)C2)c1;6.0;15.17143724082128;1;1;0.08494368621498177;0.5234933296115071;0.1648560396856153
CHEMBL240022;408.5;0.0;4.36;COc1cc2c(cc1OC)CN(/C=N/c1ccc3c(c1)C(OC(C)=O)CCC3)CC2;4.96;12.14;1;0;0.08847295447460796;0.5245506668978721;0.13191580270314784
CHEMBL441618;290.41;0.0;3.79;CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1;7.35;25.31;1;1;0.05646287085100904;0.5044612584569371;0.2750238028349812
CHEMBL1807822;482.6;0.0;3.74;O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1;6.0;12.432656444260257;1;1;0.1085588821273193;0.5026990296463287;0.1350958694050293
CHEMBL1807818;448.61;0.0;3.3;O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCSCCOCCc3ccccc3)c2s1;6.0;13.374646129154499;1;1;0.09934537766152093;0.48719141611297545;0.1453317281711668
CHEMBL252342;392.59;0.0;3.66;CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2ccc(N)cc2C1;6.2;15.78;1;1;0.08416030793001096;0.4998794635493555;0.17146881109190057
CHEMBL157293;417.6;0.0;3.79;C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1;7.48;17.92;1;1;0.09093964734423919;0.5044612584569371;0.19472250283693654
CHEMBL301559;247.38;0.0;3.37;CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1;6.7;27.06;1;1;0.04479893742461;0.48965853644782714;0.29403967225265076
CHEMBL1112;448.39;0.0;4.86;O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1;8.51;18.98;1;1;0.09928574332840896;0.5421729550039555;0.20624068659849637
CHEMBL1813594;497.55;0.0;3.52;COc1ccccc1N1CCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1.O=C(O)C(=O)O;9.85;24.18;1;1;0.11261130612742772;0.49494522287965215;0.26274498429671456
CHEMBL1813597;483.52;0.0;3.13;COc1ccccc1N1CCN(CCCOc2ccc3ccc(=O)[nH]c3c2)CC1.O=C(O)C(=O)O;8.59;21.82;1;1;0.10880826206578749;0.48119983815690714;0.23710072611060015
CHEMBL270056;311.36;0.0;2.19;Fc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1;6.66;21.38;1;1;0.06214168575417102;0.4480699365174705;0.23231959322844323
CHEMBL272395;372.27;0.0;2.81;Brc1cccc(N2CCN(Cc3cnn4ccccc34)CC2)n1;6.82;18.33;1;1;0.07865226407166961;0.46992157376901383;0.1991776493862191
CHEMBL1806868;378.52;1.0;5.11;CCCN1CCc2cccc3c2[C@H]1Cc1cccc(OC(=O)NC(C)(C)C)c1-3;6.06;16.01;1;1;0.08034642126235039;0.5509840990569971;0.17396803964393717
CHEMBL270227;602.63;2.0;6.72;Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(F)(F)C(F)(F)F)oc6cc5CC4)n3C)cccc2n1;6.399996913372259;10.62011003994534;2;1;0.14109483214290552;0.6077278667585853;0.11540035755478986
CHEMBL402016;552.63;2.0;6.08;Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(C(F)(F)F)oc6cc5CC4)n3C)cccc2n1;6.199998172182031;11.219076366071388;2;1;0.1275415746174593;0.5851713379827987;0.12190885209375799
CHEMBL256651;483.59;1.0;5.05;CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(F)c(F)c2)n1C)CC3;6.299997602857746;13.027559715580857;2;1;0.10882723662632311;0.5488694244842671;0.14156021393278756
CHEMBL256653;434.57;0.0;3.91;Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccnc2)n1C)CC3;6.0999990348465305;14.036861805569945;2;1;0.09553962294837563;0.5086906076023971;0.15252750350205244
CHEMBL255778;591.58;2.0;6.39;CCc1nc2cc3c(c(Br)c2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3;6.199998172182031;10.48040530812744;2;1;0.13809956222978192;0.5960971566085703;0.11388229644777287
CHEMBL255618;645.55;2.0;7.23;Cc1ccc2c(-c3nnc(SCCC(C)N4CCc5cc6nc(C(F)(F)F)oc6c(Br)c5CC4)n3C)cccc2n1;5.800000874803203;8.984588141589658;2;0;0.1527289484027486;0.6257026006267903;0.09762843135543517
CHEMBL257524;540.74;2.0;6.32;CCc1nc2cc3c(c(C)c2o1)CCN(C(C)CCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3;6.0;11.095905610829604;2;1;0.12431860997790818;0.5936300362737187;0.12057045266647028
CHEMBL408208;617.5;2.0;6.45;Cc1ccc2c(-c3nnc(SCCN4CCc5cc6nc(C(F)(F)F)oc6c(Br)c5CC4)n3C)cccc2n1;6.0999990348465305;9.878540947119888;2;1;0.14512557093097322;0.5982118311813003;0.10734231125001929
CHEMBL2420890;352.5;0.0;4.62;CCOc1ccccc1N1CCN(Cc2csc3ccccc23)CC1;6.66;18.89;1;1;0.07329330604610818;0.5337142567130354;0.20526272759987338
CHEMBL92439;498.72;1.0;6.22;CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2nc(C(C)(C)C)ncc2C1;5.8;11.63;1;0;0.11292845235352315;0.590105578652502;0.12637403504428416
CHEMBL91156;430.6;0.0;4.86;CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2n[nH]cc2C1;6.3;14.63;1;1;0.09446349430085521;0.5421729550039555;0.15897266833171772
CHEMBL139926;446.38;1.0;5.07;O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1;6.93;15.524889107934943;2;1;0.09874090237588604;0.5495743160085105;0.16869672228588095
CHEMBL139926;446.38;1.0;5.07;O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2o1;7.35;16.46;1;1;0.09874090237588604;0.5495743160085105;0.17885783463705218
CHEMBL302374;532.25;1.0;4.93;O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(I)cc1;7.26;13.640206669798028;2;1;0.12201726685008742;0.5446400753388071;0.14821736506451713
CHEMBL328002;488.7;1.0;5.65;CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)C1CCc2nc(SC)ncc2C1;5.9;12.07;1;0;0.11021237954542372;0.570016170211567;0.13115516792644105
CHEMBL1221498;389.5;0.0;3.4;COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3c2)CC1;6.05;15.53;1;1;0.0833227166149384;0.4907158737341921;0.16875225831794777
CHEMBL442;581.67;1.0;1.99;CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21;8.84;15.2;1;1;0.13541330658823847;0.4410210212750372;0.16516640865633006
CHEMBL69571;492.45;1.0;5.67;O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2c1-c1ccccc1C2;5.0;10.15331505736623;1;0;0.1112288738598322;0.5707210617358104;0.11032806473561975
CHEMBL304605;492.45;1.0;5.67;O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2;6.78;13.76;1;1;0.1112288738598322;0.5707210617358104;0.14951906467836196
